layer,norm_depth,act_type,knockout_type,stimulus_set,accuracy_drop,n_changed,n_total,is_critical,model_key
9,0.625,a,zero,seta,0.3875,31,80,true,llama1b_base
14,0.9375,a,zero,seta,0.2125,17,80,true,llama1b_base
5,0.375,a,zero,setb,0.25,24,96,true,llama1b_base
7,0.5,a,zero,setb,0.3854166666666667,37,96,true,llama1b_base
8,0.5625,a,zero,setb,0.375,36,96,true,llama1b_base
9,0.625,a,zero,setb,0.6041666666666666,58,96,true,llama1b_base
12,0.8125,a,zero,setb,0.22916666666666666,22,96,true,llama1b_base
14,0.9375,a,zero,setb,0.5416666666666666,52,96,true,llama1b_base
15,1.0,a,zero,setb,0.3125,30,96,true,llama1b_base
0,0.0625,a,random,seta,0.2,16,80,true,llama1b_base
7,0.5,a,random,seta,0.2875,23,80,true,llama1b_base
8,0.5625,a,random,seta,0.2875,23,80,true,llama1b_base
9,0.625,a,random,seta,0.5625,45,80,true,llama1b_base
14,0.9375,a,random,seta,0.225,18,80,true,llama1b_base
15,1.0,a,random,seta,0.2,16,80,true,llama1b_base
0,0.0625,a,random,setb,0.3958333333333333,38,96,true,llama1b_base
5,0.375,a,random,setb,0.22916666666666666,22,96,true,llama1b_base
6,0.4375,a,random,setb,0.22916666666666666,22,96,true,llama1b_base
7,0.5,a,random,setb,0.4479166666666667,43,96,true,llama1b_base
8,0.5625,a,random,setb,0.5208333333333334,50,96,true,llama1b_base
9,0.625,a,random,setb,0.6666666666666666,64,96,true,llama1b_base
10,0.6875,a,random,setb,0.3541666666666667,34,96,true,llama1b_base
11,0.75,a,random,setb,0.28125,27,96,true,llama1b_base
12,0.8125,a,random,setb,0.2708333333333333,26,96,true,llama1b_base
14,0.9375,a,random,setb,0.5208333333333334,50,96,true,llama1b_base
15,1.0,a,random,setb,0.4583333333333333,44,96,true,llama1b_base
10,0.6875,m,zero,seta,0.325,26,80,true,llama1b_base
14,0.9375,m,zero,seta,0.4625,37,80,true,llama1b_base
15,1.0,m,zero,seta,0.2,16,80,true,llama1b_base
3,0.25,m,zero,setb,0.21875,21,96,true,llama1b_base
7,0.5,m,zero,setb,0.2708333333333333,26,96,true,llama1b_base
8,0.5625,m,zero,setb,0.3958333333333333,38,96,true,llama1b_base
9,0.625,m,zero,setb,0.5416666666666666,52,96,true,llama1b_base
10,0.6875,m,zero,setb,0.5208333333333334,50,96,true,llama1b_base
11,0.75,m,zero,setb,0.34375,33,96,true,llama1b_base
12,0.8125,m,zero,setb,0.3229166666666667,31,96,true,llama1b_base
13,0.875,m,zero,setb,0.34375,33,96,true,llama1b_base
14,0.9375,m,zero,setb,0.71875,69,96,true,llama1b_base
15,1.0,m,zero,setb,0.375,36,96,true,llama1b_base
7,0.5,m,random,seta,0.2125,17,80,true,llama1b_base
8,0.5625,m,random,seta,0.2625,21,80,true,llama1b_base
9,0.625,m,random,seta,0.2125,17,80,true,llama1b_base
10,0.6875,m,random,seta,0.3875,31,80,true,llama1b_base
11,0.75,m,random,seta,0.225,18,80,true,llama1b_base
12,0.8125,m,random,seta,0.225,18,80,true,llama1b_base
13,0.875,m,random,seta,0.2125,17,80,true,llama1b_base
14,0.9375,m,random,seta,0.4,32,80,true,llama1b_base
15,1.0,m,random,seta,0.6625,53,80,true,llama1b_base
0,0.0625,m,random,setb,0.25,24,96,true,llama1b_base
1,0.125,m,random,setb,0.2916666666666667,28,96,true,llama1b_base
2,0.1875,m,random,setb,0.2916666666666667,28,96,true,llama1b_base
3,0.25,m,random,setb,0.2604166666666667,25,96,true,llama1b_base
5,0.375,m,random,setb,0.2708333333333333,26,96,true,llama1b_base
6,0.4375,m,random,setb,0.2604166666666667,25,96,true,llama1b_base
7,0.5,m,random,setb,0.4479166666666667,43,96,true,llama1b_base
8,0.5625,m,random,setb,0.5104166666666666,49,96,true,llama1b_base
9,0.625,m,random,setb,0.6875,66,96,true,llama1b_base
10,0.6875,m,random,setb,0.5729166666666666,55,96,true,llama1b_base
11,0.75,m,random,setb,0.5,48,96,true,llama1b_base
12,0.8125,m,random,setb,0.4895833333333333,47,96,true,llama1b_base
13,0.875,m,random,setb,0.375,36,96,true,llama1b_base
14,0.9375,m,random,setb,0.6979166666666666,67,96,true,llama1b_base
15,1.0,m,random,setb,0.75,72,96,true,llama1b_base
