layer,norm_depth,act_type,knockout_type,stimulus_set,accuracy_drop,n_changed,n_total,is_critical
0,0.0312,a,zero,seta,0.075,6,80,false
1,0.0625,a,zero,seta,0.0,0,80,false
2,0.0938,a,zero,seta,0.0,0,80,false
3,0.125,a,zero,seta,0.0125,1,80,false
4,0.1562,a,zero,seta,0.0375,3,80,false
5,0.1875,a,zero,seta,0.025,2,80,false
6,0.2188,a,zero,seta,0.1,8,80,false
7,0.25,a,zero,seta,0.0375,3,80,false
8,0.2812,a,zero,seta,0.0875,7,80,false
9,0.3125,a,zero,seta,0.05,4,80,false
10,0.3438,a,zero,seta,0.1,8,80,false
11,0.375,a,zero,seta,0.125,10,80,false
12,0.4062,a,zero,seta,0.125,10,80,false
13,0.4375,a,zero,seta,0.15,12,80,false
14,0.4688,a,zero,seta,0.1625,13,80,false
15,0.5,a,zero,seta,0.1125,9,80,false
16,0.5312,a,zero,seta,0.125,10,80,false
17,0.5625,a,zero,seta,0.1625,13,80,false
18,0.5938,a,zero,seta,0.1375,11,80,false
19,0.625,a,zero,seta,0.0375,3,80,false
20,0.6562,a,zero,seta,0.075,6,80,false
21,0.6875,a,zero,seta,0.05,4,80,false
22,0.7188,a,zero,seta,0.0375,3,80,false
23,0.75,a,zero,seta,0.0125,1,80,false
24,0.7812,a,zero,seta,0.05,4,80,false
25,0.8125,a,zero,seta,0.05,4,80,false
26,0.8438,a,zero,seta,0.0375,3,80,false
27,0.875,a,zero,seta,0.0625,5,80,false
28,0.9062,a,zero,seta,0.05,4,80,false
29,0.9375,a,zero,seta,0.1,8,80,false
30,0.9688,a,zero,seta,0.15,12,80,false
31,1.0,a,zero,seta,0.1375,11,80,false
0,0.0312,a,zero,setb,0.0625,6,96,false
1,0.0625,a,zero,setb,0.03125,3,96,false
2,0.0938,a,zero,setb,0.03125,3,96,false
3,0.125,a,zero,setb,0.020833333333333332,2,96,false
4,0.1562,a,zero,setb,0.03125,3,96,false
5,0.1875,a,zero,setb,0.052083333333333336,5,96,false
6,0.2188,a,zero,setb,0.0625,6,96,false
7,0.25,a,zero,setb,0.0625,6,96,false
8,0.2812,a,zero,setb,0.10416666666666667,10,96,false
9,0.3125,a,zero,setb,0.0625,6,96,false
10,0.3438,a,zero,setb,0.08333333333333333,8,96,false
11,0.375,a,zero,setb,0.09375,9,96,false
12,0.4062,a,zero,setb,0.09375,9,96,false
13,0.4375,a,zero,setb,0.125,12,96,false
14,0.4688,a,zero,setb,0.11458333333333333,11,96,false
15,0.5,a,zero,setb,0.125,12,96,false
16,0.5312,a,zero,setb,0.16666666666666666,16,96,false
17,0.5625,a,zero,setb,0.07291666666666667,7,96,false
18,0.5938,a,zero,setb,0.0625,6,96,false
19,0.625,a,zero,setb,0.052083333333333336,5,96,false
20,0.6562,a,zero,setb,0.041666666666666664,4,96,false
21,0.6875,a,zero,setb,0.03125,3,96,false
22,0.7188,a,zero,setb,0.052083333333333336,5,96,false
23,0.75,a,zero,setb,0.052083333333333336,5,96,false
24,0.7812,a,zero,setb,0.041666666666666664,4,96,false
25,0.8125,a,zero,setb,0.0625,6,96,false
26,0.8438,a,zero,setb,0.041666666666666664,4,96,false
27,0.875,a,zero,setb,0.020833333333333332,2,96,false
28,0.9062,a,zero,setb,0.010416666666666666,1,96,false
29,0.9375,a,zero,setb,0.041666666666666664,4,96,false
30,0.9688,a,zero,setb,0.14583333333333334,14,96,false
31,1.0,a,zero,setb,0.23958333333333334,23,96,true
0,0.0312,a,random,seta,0.05,4,80,false
1,0.0625,a,random,seta,0.05,4,80,false
2,0.0938,a,random,seta,0.0125,1,80,false
3,0.125,a,random,seta,0.0375,3,80,false
4,0.1562,a,random,seta,0.0375,3,80,false
5,0.1875,a,random,seta,0.1125,9,80,false
6,0.2188,a,random,seta,0.0625,5,80,false
7,0.25,a,random,seta,0.0875,7,80,false
8,0.2812,a,random,seta,0.1,8,80,false
9,0.3125,a,random,seta,0.1125,9,80,false
10,0.3438,a,random,seta,0.1,8,80,false
11,0.375,a,random,seta,0.15,12,80,false
12,0.4062,a,random,seta,0.15,12,80,false
13,0.4375,a,random,seta,0.175,14,80,false
14,0.4688,a,random,seta,0.2,16,80,true
15,0.5,a,random,seta,0.15,12,80,false
16,0.5312,a,random,seta,0.1375,11,80,false
17,0.5625,a,random,seta,0.125,10,80,false
18,0.5938,a,random,seta,0.0875,7,80,false
19,0.625,a,random,seta,0.075,6,80,false
20,0.6562,a,random,seta,0.0625,5,80,false
21,0.6875,a,random,seta,0.05,4,80,false
22,0.7188,a,random,seta,0.0375,3,80,false
23,0.75,a,random,seta,0.0375,3,80,false
24,0.7812,a,random,seta,0.05,4,80,false
25,0.8125,a,random,seta,0.075,6,80,false
26,0.8438,a,random,seta,0.0375,3,80,false
27,0.875,a,random,seta,0.075,6,80,false
28,0.9062,a,random,seta,0.075,6,80,false
29,0.9375,a,random,seta,0.1,8,80,false
30,0.9688,a,random,seta,0.1375,11,80,false
31,1.0,a,random,seta,0.2,16,80,true
0,0.0312,a,random,setb,0.11458333333333333,11,96,false
1,0.0625,a,random,setb,0.041666666666666664,4,96,false
2,0.0938,a,random,setb,0.03125,3,96,false
3,0.125,a,random,setb,0.03125,3,96,false
4,0.1562,a,random,setb,0.03125,3,96,false
5,0.1875,a,random,setb,0.07291666666666667,7,96,false
6,0.2188,a,random,setb,0.0625,6,96,false
7,0.25,a,random,setb,0.09375,9,96,false
8,0.2812,a,random,setb,0.08333333333333333,8,96,false
9,0.3125,a,random,setb,0.10416666666666667,10,96,false
10,0.3438,a,random,setb,0.13541666666666666,13,96,false
11,0.375,a,random,setb,0.09375,9,96,false
12,0.4062,a,random,setb,0.09375,9,96,false
13,0.4375,a,random,setb,0.16666666666666666,16,96,false
14,0.4688,a,random,setb,0.16666666666666666,16,96,false
15,0.5,a,random,setb,0.15625,15,96,false
16,0.5312,a,random,setb,0.14583333333333334,14,96,false
17,0.5625,a,random,setb,0.125,12,96,false
18,0.5938,a,random,setb,0.10416666666666667,10,96,false
19,0.625,a,random,setb,0.10416666666666667,10,96,false
20,0.6562,a,random,setb,0.03125,3,96,false
21,0.6875,a,random,setb,0.09375,9,96,false
22,0.7188,a,random,setb,0.052083333333333336,5,96,false
23,0.75,a,random,setb,0.052083333333333336,5,96,false
24,0.7812,a,random,setb,0.020833333333333332,2,96,false
25,0.8125,a,random,setb,0.08333333333333333,8,96,false
26,0.8438,a,random,setb,0.0625,6,96,false
27,0.875,a,random,setb,0.03125,3,96,false
28,0.9062,a,random,setb,0.010416666666666666,1,96,false
29,0.9375,a,random,setb,0.08333333333333333,8,96,false
30,0.9688,a,random,setb,0.1875,18,96,false
31,1.0,a,random,setb,0.2916666666666667,28,96,true
0,0.0312,m,zero,seta,0.0125,1,80,false
1,0.0625,m,zero,seta,0.025,2,80,false
2,0.0938,m,zero,seta,0.0125,1,80,false
3,0.125,m,zero,seta,0.0375,3,80,false
4,0.1562,m,zero,seta,0.0375,3,80,false
5,0.1875,m,zero,seta,0.075,6,80,false
6,0.2188,m,zero,seta,0.05,4,80,false
7,0.25,m,zero,seta,0.075,6,80,false
8,0.2812,m,zero,seta,0.0625,5,80,false
9,0.3125,m,zero,seta,0.125,10,80,false
10,0.3438,m,zero,seta,0.15,12,80,false
11,0.375,m,zero,seta,0.175,14,80,false
12,0.4062,m,zero,seta,0.175,14,80,false
13,0.4375,m,zero,seta,0.1625,13,80,false
14,0.4688,m,zero,seta,0.15,12,80,false
15,0.5,m,zero,seta,0.175,14,80,false
16,0.5312,m,zero,seta,0.2,16,80,true
17,0.5625,m,zero,seta,0.175,14,80,false
18,0.5938,m,zero,seta,0.275,22,80,true
19,0.625,m,zero,seta,0.1375,11,80,false
20,0.6562,m,zero,seta,0.1375,11,80,false
21,0.6875,m,zero,seta,0.125,10,80,false
22,0.7188,m,zero,seta,0.075,6,80,false
23,0.75,m,zero,seta,0.0875,7,80,false
24,0.7812,m,zero,seta,0.075,6,80,false
25,0.8125,m,zero,seta,0.15,12,80,false
26,0.8438,m,zero,seta,0.1625,13,80,false
27,0.875,m,zero,seta,0.225,18,80,true
28,0.9062,m,zero,seta,0.175,14,80,false
29,0.9375,m,zero,seta,0.1125,9,80,false
30,0.9688,m,zero,seta,0.1625,13,80,false
31,1.0,m,zero,seta,0.375,30,80,true
0,0.0312,m,zero,setb,0.041666666666666664,4,96,false
1,0.0625,m,zero,setb,0.03125,3,96,false
