id,emotion,stimulus_set,domain,n_tokens_prompt,colon_token_idx,model_id,top5_predictions,correct,final_token_str,matched_control_id
B-admiration-d1-v1,admiration,B_clinical,1,209,208,llama8b_inst,"['admiration', 'awe', 'respect', 'pride', 'appreciation']",true,:,N-admiration-d1-c1
B-admiration-d1-v2,admiration,B_clinical,1,200,199,llama8b_inst,"['empathy', 'gratitude', 'relief', 'appreciation', 'a']",false,:,N-admiration-d1-c2
B-admiration-d1-v3,admiration,B_clinical,1,222,221,llama8b_inst,"['admiration', 'awe', 'appreciation', 'respect', 'reverence']",true,:,N-admiration-d1-c3
B-admiration-d1-v4,admiration,B_clinical,1,187,186,llama8b_inst,"['admiration', 'respect', 'awe', 'calm', 'reverence']",true,:,N-admiration-d1-c4
B-admiration-d2-v1,admiration,B_clinical,2,211,210,llama8b_inst,"['guilt', 'empathy', 'moral', 'a', 'relief']",false,:,N-admiration-d2-c1
B-admiration-d2-v2,admiration,B_clinical,2,203,202,llama8b_inst,"['compassion', 'sadness', 'melanch', 'empathy', 'grief']",false,:,N-admiration-d2-c2
B-admiration-d2-v3,admiration,B_clinical,2,222,221,llama8b_inst,"['guilt', 'regret', 'frustration', 'disappointment', 'shame']",false,:,N-admiration-d2-c3
B-admiration-d2-v4,admiration,B_clinical,2,212,211,llama8b_inst,"['dedication', 'loyalty', 'commitment', 'devotion', 'compassion']",false,:,N-admiration-d2-c4
B-admiration-d3-v1,admiration,B_clinical,3,219,218,llama8b_inst,"['pride', 'determination', 'satisfaction', 'sense', 'accomplishment']",false,:,N-admiration-d3-c1
B-admiration-d3-v2,admiration,B_clinical,3,207,206,llama8b_inst,"['relief', 'determination', 'hope', 'perseverance', 'el']",false,:,N-admiration-d3-c2
B-admiration-d3-v3,admiration,B_clinical,3,217,216,llama8b_inst,"['determination', 'resilience', 'perseverance', 'pride', 'persistence']",false,:,N-admiration-d3-c3
B-admiration-d3-v4,admiration,B_clinical,3,234,233,llama8b_inst,"['empathy', 'hope', 'compassion', 'gratitude', 'determination']",false,:,N-admiration-d3-c4
B-amazement-d1-v1,amazement,B_clinical,1,181,180,llama8b_inst,"['awe', 'wonder', 'am', 'a', 'aston']",false,:,N-amazement-d1-c1
B-amazement-d1-v2,amazement,B_clinical,1,202,201,llama8b_inst,"['awe', 'wonder', 'fascination', 'am', 'fear']",false,:,N-amazement-d1-c2
B-amazement-d1-v3,amazement,B_clinical,1,191,190,llama8b_inst,"['awe', 'wonder', 'am', 'a', 'contempl']",false,:,N-amazement-d1-c3
B-amazement-d1-v4,amazement,B_clinical,1,197,196,llama8b_inst,"['awe', 'fear', 'shock', 'am', 'a']",false,:,N-amazement-d1-c4
B-amazement-d2-v1,amazement,B_clinical,2,202,201,llama8b_inst,"['relief', 'calm', 'shock', 'gratitude', 'hope']",false,:,N-amazement-d2-c1
B-amazement-d2-v2,amazement,B_clinical,2,218,217,llama8b_inst,"['awe', 'admiration', 'pride', 'am', 'determination']",false,:,N-amazement-d2-c2
B-amazement-d2-v3,amazement,B_clinical,2,202,201,llama8b_inst,"['relief', 'gratitude', 'compassion', 'hope', 'shock']",false,:,N-amazement-d2-c3
B-amazement-d2-v4,amazement,B_clinical,2,199,198,llama8b_inst,"['relief', 'hope', 'gratitude', 'resilience', 'surprise']",true,:,N-amazement-d2-c4
B-amazement-d3-v1,amazement,B_clinical,3,205,204,llama8b_inst,"['surprise', 'pride', 'excitement', 'am', 'sense']",true,:,N-amazement-d3-c1
B-amazement-d3-v2,amazement,B_clinical,3,217,216,llama8b_inst,"['excitement', 'surprise', 'am', 'shock', 'awe']",true,:,N-amazement-d3-c2
B-amazement-d3-v3,amazement,B_clinical,3,205,204,llama8b_inst,"['relief', 'surprise', 'excitement', 'shock', 'hope']",true,:,N-amazement-d3-c3
B-amazement-d3-v4,amazement,B_clinical,3,195,194,llama8b_inst,"['surprise', 'curiosity', 'relief', 'confusion', 'embarrassment']",true,:,N-amazement-d3-c4
B-ecstasy-d1-v1,ecstasy,B_clinical,1,195,194,llama8b_inst,"['relief', 'el', 'overwhelming', 'a', 'excitement']",false,:,N-ecstasy-d1-c1
B-ecstasy-d1-v2,ecstasy,B_clinical,1,187,186,llama8b_inst,"['despair', 'disappointment', 'anxiety', 'shock', 'grief']",false,:,N-ecstasy-d1-c2
B-ecstasy-d1-v3,ecstasy,B_clinical,1,200,199,llama8b_inst,"['el', 'relief', 'pride', 'excitement', 'accomplishment']",false,:,N-ecstasy-d1-c3
B-ecstasy-d1-v4,ecstasy,B_clinical,1,177,176,llama8b_inst,"['pride', 'relief', 'a', 'gratitude', 'accomplishment']",false,:,N-ecstasy-d1-c4
B-ecstasy-d2-v1,ecstasy,B_clinical,2,187,186,llama8b_inst,"['a', 'relief', 'nostalgia', 'longing', 'mixed']",false,:,N-ecstasy-d2-c1
B-ecstasy-d2-v2,ecstasy,B_clinical,2,175,174,llama8b_inst,"['relief', 'happiness', 'hope', 'excitement', 'el']",true,:,N-ecstasy-d2-c2
B-ecstasy-d2-v3,ecstasy,B_clinical,2,186,185,llama8b_inst,"['nostalgia', 'a', 'relief', 'mixed', 'longing']",false,:,N-ecstasy-d2-c3
B-ecstasy-d2-v4,ecstasy,B_clinical,2,173,172,llama8b_inst,"['happiness', 'relief', 'loneliness', 'gratitude', 'hope']",true,:,N-ecstasy-d2-c4
B-ecstasy-d3-v1,ecstasy,B_clinical,3,181,180,llama8b_inst,"['excitement', 'el', 'surprise', 'eup', 'relief']",false,:,N-ecstasy-d3-c1
B-ecstasy-d3-v2,ecstasy,B_clinical,3,177,176,llama8b_inst,"['wonder', 'awe', 'am', 'excitement', 'fascination']",false,:,N-ecstasy-d3-c2
B-ecstasy-d3-v3,ecstasy,B_clinical,3,190,189,llama8b_inst,"['excitement', 'surprise', 'shock', 'am', 'aston']",false,:,N-ecstasy-d3-c3
B-ecstasy-d3-v4,ecstasy,B_clinical,3,201,200,llama8b_inst,"['excitement', 'curiosity', 'anticipation', 'fascination', 'surprise']",false,:,N-ecstasy-d3-c4
B-grief-d1-v1,grief,B_clinical,1,155,154,llama8b_inst,"['grief', 'sorrow', 'sadness', 'melanch', 'nostalgia']",true,:,N-grief-d1-c1
B-grief-d1-v2,grief,B_clinical,1,142,141,llama8b_inst,"['grief', 'melanch', 'despair', 'numb', 'resignation']",true,:,N-grief-d1-c2
B-grief-d1-v3,grief,B_clinical,1,159,158,llama8b_inst,"['grief', 'longing', 'despair', 'melanch', 'resignation']",true,:,N-grief-d1-c3
B-grief-d1-v4,grief,B_clinical,1,162,161,llama8b_inst,"['grief', 'sorrow', 'sadness', 'melanch', 'despair']",true,:,N-grief-d1-c4
B-grief-d2-v1,grief,B_clinical,2,166,165,llama8b_inst,"['despair', 'grief', 'regret', 'sorrow', 'sadness']",true,:,N-grief-d2-c1
B-grief-d2-v2,grief,B_clinical,2,170,169,llama8b_inst,"['nostalgia', 'melanch', 'resignation', 'sadness', 'loss']",true,:,N-grief-d2-c2
B-grief-d2-v3,grief,B_clinical,2,159,158,llama8b_inst,"['melanch', 'nostalgia', 'sadness', 'loss', 'resignation']",true,:,N-grief-d2-c3
B-grief-d2-v4,grief,B_clinical,2,170,169,llama8b_inst,"['nostalgia', 'melanch', 'resignation', 'despair', 'regret']",false,:,N-grief-d2-c4
B-grief-d3-v1,grief,B_clinical,3,165,164,llama8b_inst,"['anxiety', 'shock', 'fear', 'concern', 'worry']",false,:,N-grief-d3-c1
B-grief-d3-v2,grief,B_clinical,3,159,158,llama8b_inst,"['grief', 'melanch', 'sorrow', 'longing', 'sadness']",true,:,N-grief-d3-c2
B-grief-d3-v3,grief,B_clinical,3,161,160,llama8b_inst,"['melanch', 'sadness', 'nostalgia', 'regret', 'b']",true,:,N-grief-d3-c3
B-grief-d3-v4,grief,B_clinical,3,161,160,llama8b_inst,"['longing', 'grief', 'nostalgia', 'melanch', 'sorrow']",true,:,N-grief-d3-c4
B-loathing-d1-v1,loathing,B_clinical,1,167,166,llama8b_inst,"['disgust', 'anger', 'outrage', 'indign', 'moral']",true,:,N-loathing-d1-c1
B-loathing-d1-v2,loathing,B_clinical,1,179,178,llama8b_inst,"['outrage', 'anger', 'disgust', 'indign', 'shock']",true,:,N-loathing-d1-c2
B-loathing-d1-v3,loathing,B_clinical,1,183,182,llama8b_inst,"['outrage', 'disgust', 'anger', 'distrust', 'indign']",true,:,N-loathing-d1-c3
B-loathing-d1-v4,loathing,B_clinical,1,181,180,llama8b_inst,"['anger', 'outrage', 'betrayal', 'rage', 'indign']",false,:,N-loathing-d1-c4
B-loathing-d2-v1,loathing,B_clinical,2,172,171,llama8b_inst,"['disgust', 'rev', 'une', 'rep', 'horror']",true,:,N-loathing-d2-c1
B-loathing-d2-v2,loathing,B_clinical,2,197,196,llama8b_inst,"['disgust', 'rev', 'dist', 'discomfort', 'une']",true,:,N-loathing-d2-c2
B-loathing-d2-v3,loathing,B_clinical,2,215,214,llama8b_inst,"['disgust', 'fear', 'anxiety', 'concern', 'horror']",true,:,N-loathing-d2-c3
B-loathing-d2-v4,loathing,B_clinical,2,194,193,llama8b_inst,"['disgust', 'rev', 'une', 'dist', 'anger']",true,:,N-loathing-d2-c4
B-loathing-d3-v1,loathing,B_clinical,3,173,172,llama8b_inst,"['shame', 'shock', 'guilt', 'disgust', 'betrayal']",true,:,N-loathing-d3-c1
B-loathing-d3-v2,loathing,B_clinical,3,167,166,llama8b_inst,"['anger', 'outrage', 'disgust', 'suspicion', 'distrust']",true,:,N-loathing-d3-c2
B-loathing-d3-v3,loathing,B_clinical,3,181,180,llama8b_inst,"['embarrassment', 'shame', 'anger', 'disgust', 'outrage']",true,:,N-loathing-d3-c3
B-loathing-d3-v4,loathing,B_clinical,3,188,187,llama8b_inst,"['irony', 'anger', 'guilt', 'shame', 'outrage']",false,:,N-loathing-d3-c4
B-rage-d1-v1,rage,B_clinical,1,148,147,llama8b_inst,"['anger', 'outrage', 'rage', 'shock', 'disgust']",true,:,N-rage-d1-c1
B-rage-d1-v2,rage,B_clinical,1,165,164,llama8b_inst,"['anger', 'outrage', 'shock', 'rage', 'betrayal']",true,:,N-rage-d1-c2
B-rage-d1-v3,rage,B_clinical,1,165,164,llama8b_inst,"['anger', 'shock', 'betrayal', 'outrage', 'disgust']",true,:,N-rage-d1-c3
