id,emotion,stimulus_set,domain,n_tokens_prompt,colon_token_idx,model_id,top5_predictions,correct,final_token_str
A-admiration-01,admiration,A_standard,,157,156,llama1b_base,"['joy', 'happiness', 'relief', 'love', 'gratitude']",false,:
A-admiration-02,admiration,A_standard,,187,186,llama1b_base,"['joy', 'trust', 'surprise', 'anger', 'happiness']",false,:
A-admiration-03,admiration,A_standard,,153,152,llama1b_base,"['joy', 'relief', 'happiness', 'trust', 'gratitude']",false,:
A-admiration-04,admiration,A_standard,,193,192,llama1b_base,"['joy', 'trust', 'gratitude', 'love', 'surprise']",false,:
A-admiration-05,admiration,A_standard,,140,139,llama1b_base,"['joy', 'happiness', 'fear', 'relief', 'surprise']",false,:
A-admiration-06,admiration,A_standard,,176,175,llama1b_base,"['joy', 'relief', 'surprise', 'sadness', 'happiness']",false,:
A-admiration-07,admiration,A_standard,,131,130,llama1b_base,"['joy', 'relief', 'trust', 'happiness', 'sadness']",false,:
A-admiration-08,admiration,A_standard,,155,154,llama1b_base,"['trust', 'joy', 'surprise', 'relief', 'fear']",false,:
A-admiration-09,admiration,A_standard,,171,170,llama1b_base,"['anger', 'confusion', 'surprise', 'sadness', 'joy']",false,:
A-admiration-10,admiration,A_standard,,127,126,llama1b_base,"['relief', 'joy', 'fear', 'happiness', 'trust']",false,:
A-amazement-01,amazement,A_standard,,156,155,llama1b_base,"['surprise', 'joy', 'happiness', 'gratitude', 'excitement']",true,:
A-amazement-02,amazement,A_standard,,122,121,llama1b_base,"['surprise', 'joy', 'happiness', 'confusion', 'shock']",true,:
A-amazement-03,amazement,A_standard,,131,130,llama1b_base,"['surprise', 'joy', 'happiness', 'both', 'excitement']",true,:
A-amazement-04,amazement,A_standard,,132,131,llama1b_base,"['surprise', 'shock', 'joy', 'happiness', 'anger']",true,:
A-amazement-05,amazement,A_standard,,141,140,llama1b_base,"['surprise', 'joy', 'confusion', 'shock', 'anger']",true,:
A-amazement-06,amazement,A_standard,,122,121,llama1b_base,"['surprise', 'confusion', 'fear', 'shock', 'joy']",true,:
A-amazement-07,amazement,A_standard,,153,152,llama1b_base,"['surprise', 'joy', 'happiness', 'excitement', 'curiosity']",true,:
A-amazement-08,amazement,A_standard,,203,202,llama1b_base,"['joy', 'surprise', 'happiness', 'excitement', 'shock']",true,:
A-amazement-09,amazement,A_standard,,125,124,llama1b_base,"['surprise', 'confusion', 'joy', 'shock', 'curiosity']",true,:
A-amazement-10,amazement,A_standard,,147,146,llama1b_base,"['surprise', 'disappointment', 'anger', 'sadness', 'regret']",true,:
A-ecstasy-01,ecstasy,A_standard,,132,131,llama1b_base,"['joy', 'happiness', 'pride', 'Joy', 'el']",true,:
A-ecstasy-02,ecstasy,A_standard,,147,146,llama1b_base,"['joy', 'happiness', 'surprise', 'el', 'excitement']",true,:
A-ecstasy-03,ecstasy,A_standard,,158,157,llama1b_base,"['joy', 'happiness', 'surprise', 'excitement', 'relief']",true,:
A-ecstasy-04,ecstasy,A_standard,,164,163,llama1b_base,"['joy', 'happiness', 'love', 'Joy', 'happy']",true,:
A-ecstasy-05,ecstasy,A_standard,,155,154,llama1b_base,"['joy', 'relief', 'pride', 'happiness', 'mixed']",true,:
A-ecstasy-06,ecstasy,A_standard,,133,132,llama1b_base,"['joy', 'happiness', 'surprise', 'excitement', 'pleasure']",true,:
A-ecstasy-07,ecstasy,A_standard,,165,164,llama1b_base,"['joy', 'happiness', 'relief', 'surprise', 'Joy']",true,:
A-ecstasy-08,ecstasy,A_standard,,224,223,llama1b_base,"['joy', 'happiness', 'surprise', 'Joy', 'pride']",true,:
A-ecstasy-09,ecstasy,A_standard,,151,150,llama1b_base,"['joy', 'surprise', 'happiness', 'excitement', 'awe']",true,:
A-ecstasy-10,ecstasy,A_standard,,129,128,llama1b_base,"['joy', 'happiness', 'excitement', 'Joy', 'pleasure']",true,:
A-grief-01,grief,A_standard,,197,196,llama1b_base,"['sadness', 'grief', 'sorrow', 'guilt', 'anger']",true,:
A-grief-02,grief,A_standard,,128,127,llama1b_base,"['sadness', 'anger', 'guilt', 'shame', 'fear']",true,:
A-grief-03,grief,A_standard,,152,151,llama1b_base,"['sadness', 'grief', 'sorrow', 'shock', 'anger']",true,:
A-grief-04,grief,A_standard,,248,247,llama1b_base,"['sadness', 'fear', 'sorrow', 'grief', 'anger']",true,:
A-grief-05,grief,A_standard,,254,253,llama1b_base,"['sadness', 'grief', 'sorrow', 'shock', 'confusion']",true,:
A-grief-06,grief,A_standard,,127,126,llama1b_base,"['sadness', 'joy', 'happiness', 'sorrow', 'guilt']",true,:
A-grief-07,grief,A_standard,,170,169,llama1b_base,"['sadness', 'grief', 'sorrow', 'shock', 'anger']",true,:
A-grief-08,grief,A_standard,,125,124,llama1b_base,"['sadness', 'grief', 'sorrow', 'regret', 'shock']",true,:
A-grief-09,grief,A_standard,,160,159,llama1b_base,"['sadness', 'guilt', 'sad', 'grief', 'sorrow']",true,:
A-grief-10,grief,A_standard,,157,156,llama1b_base,"['sadness', 'confusion', 'anger', 'guilt', 'regret']",true,:
A-loathing-01,loathing,A_standard,,203,202,llama1b_base,"['disgust', 'anger', 'shame', 'sadness', 'fear']",true,:
A-loathing-02,loathing,A_standard,,148,147,llama1b_base,"['disgust', 'anger', 'disappointment', 'shame', 'annoyance']",true,:
A-loathing-03,loathing,A_standard,,115,114,llama1b_base,"['disgust', 'anger', 'sadness', 'shame', 'surprise']",true,:
A-loathing-04,loathing,A_standard,,161,160,llama1b_base,"['disgust', 'anger', 'shame', 'guilt', 'sadness']",true,:
A-loathing-05,loathing,A_standard,,221,220,llama1b_base,"['disgust', 'anger', 'fear', 'nausea', 'sadness']",true,:
A-loathing-06,loathing,A_standard,,125,124,llama1b_base,"['disgust', 'anger', 'fear', 'disgusted', 'sadness']",true,:
A-loathing-07,loathing,A_standard,,175,174,llama1b_base,"['anger', 'disgust', 'sadness', 'shame', 'guilt']",true,:
A-loathing-08,loathing,A_standard,,128,127,llama1b_base,"['disgust', 'anger', 'fear', 'disgusted', 'horror']",true,:
A-loathing-09,loathing,A_standard,,121,120,llama1b_base,"['disgust', 'anger', 'fear', 'horror', 'surprise']",true,:
A-loathing-10,loathing,A_standard,,196,195,llama1b_base,"['disgust', 'anger', 'sadness', 'shame', 'joy']",true,:
A-rage-01,rage,A_standard,,193,192,llama1b_base,"['anger', 'sadness', 'joy', 'happiness', 'frustration']",true,:
A-rage-02,rage,A_standard,,522,521,llama1b_base,"['anger', 'sadness', 'confusion', 'guilt', 'joy']",true,:
A-rage-03,rage,A_standard,,156,155,llama1b_base,"['anger', 'sadness', 'fear', 'confusion', 'shame']",true,:
A-rage-04,rage,A_standard,,161,160,llama1b_base,"['anger', 'shame', 'sadness', 'rage', 'guilt']",true,:
A-rage-05,rage,A_standard,,132,131,llama1b_base,"['anger', 'sadness', 'disgust', 'annoyance', 'frustration']",true,:
A-rage-06,rage,A_standard,,229,228,llama1b_base,"['anger', 'fear', 'rage', 'frustration', 'fury']",true,:
A-rage-07,rage,A_standard,,142,141,llama1b_base,"['anger', 'sadness', 'guilt', 'shame', 'sorrow']",true,:
A-rage-08,rage,A_standard,,257,256,llama1b_base,"['anger', 'sadness', 'confusion', 'fear', 'joy']",true,:
