id,emotion,stimulus_set,domain,n_tokens_prompt,colon_token_idx,model_id,top5_predictions,correct,final_token_str
A-admiration-01,admiration,A_standard,,157,156,llama1b_inst,"['happiness', 'love', 'joy', 'gratitude', 'relief']",true,:
A-admiration-02,admiration,A_standard,,187,186,llama1b_inst,"['trust', 'confidence', 'gratitude', 'pride', 'anger']",true,:
A-admiration-03,admiration,A_standard,,153,152,llama1b_inst,"['trust', 'empathy', 'relief', 'gratitude', 'compassion']",false,:
A-admiration-04,admiration,A_standard,,193,192,llama1b_inst,"['trust', 'love', 'gratitude', 'compassion', 'empathy']",true,:
A-admiration-05,admiration,A_standard,,140,139,llama1b_inst,"['relief', 'anxiety', 'gratitude', 'fear', 'guilt']",false,:
A-admiration-06,admiration,A_standard,,176,175,llama1b_inst,"['trust', 'relief', 'happiness', 'love', 'joy']",true,:
A-admiration-07,admiration,A_standard,,131,130,llama1b_inst,"['relief', 'empathy', 'trust', 'gratitude', 'comfort']",false,:
A-admiration-08,admiration,A_standard,,155,154,llama1b_inst,"['trust', 'gratitude', 'relief', 'confidence', 'satisfaction']",false,:
A-admiration-09,admiration,A_standard,,171,170,llama1b_inst,"['anger', 'trust', 'betrayal', 'distrust', 'guilt']",false,:
A-admiration-10,admiration,A_standard,,127,126,llama1b_inst,"['fear', 'relief', 'anxiety', 'love', 'comfort']",true,:
A-amazement-01,amazement,A_standard,,156,155,llama1b_inst,"['surprise', 'joy', 'happiness', 'excitement', 'delight']",true,:
A-amazement-02,amazement,A_standard,,122,121,llama1b_inst,"['surprise', 'joy', 'happiness', 'excitement', 'shock']",true,:
A-amazement-03,amazement,A_standard,,131,130,llama1b_inst,"['joy', 'surprise', 'happiness', 'excitement', 'shock']",true,:
A-amazement-04,amazement,A_standard,,132,131,llama1b_inst,"['surprise', 'shock', 'relief', 'disappointment', 'anger']",true,:
A-amazement-05,amazement,A_standard,,141,140,llama1b_inst,"['surprise', 'shock', 'fear', 'disgust', 'confusion']",true,:
A-amazement-06,amazement,A_standard,,122,121,llama1b_inst,"['fear', 'surprise', 'anxiety', 'confusion', 'shock']",true,:
