auroc_mean,auroc_std,acc_mean,acc_std,layer
0.9788365650969528,0.011386153574096615,0.9114709851551958,0.02670360284613163,0
0.9918005540166204,0.006967406059728507,0.9582995951417004,0.042415549323753174,1
0.9875069252077562,0.013536724698759878,0.9426450742240216,0.030560172425842178,2
0.9950969529085871,0.005322309389084787,0.9635627530364372,0.02092420776606135,3
0.9994736842105263,0.0010526315789473716,0.9844804318488529,0.020581956084530506,4
0.9994736842105263,0.0010526315789473716,0.979217273954116,0.01926282339352237,5
1.0,0.0,0.9740890688259108,0.01622017730681948,6
0.9994459833795014,0.0011080332409972194,0.9739541160593792,0.016646849063545792,7
0.9988919667590028,0.0022160664819944388,0.9843454790823213,0.020986782376565476,8
0.9994459833795014,0.0011080332409972194,0.9843454790823213,0.020986782376565476,9
0.9989196675900278,0.001323856304193737,0.9844804318488528,0.020581956084530506,10
0.9989196675900278,0.001323856304193737,0.9740890688259108,0.0232401046063474,11
0.9989196675900278,0.001323856304193737,0.9740890688259108,0.0232401046063474,12
0.9994459833795014,0.0011080332409972194,0.9843454790823213,0.020986782376565476,13
0.9994459833795014,0.0011080332409972194,0.9792172739541162,0.019623450180074012,14
0.9994459833795014,0.0011080332409972194,0.9947368421052631,0.010526315789473672,15
1.0,0.0,0.9947368421052631,0.010526315789473672,16
1.0,0.0,0.9948717948717949,0.010256410256410265,17
1.0,0.0,1.0,0.0,18
1.0,0.0,1.0,0.0,19
1.0,0.0,1.0,0.0,20
0.9994736842105263,0.0010526315789473274,0.9897435897435898,0.02051282051282053,21
0.9994736842105263,0.0010526315789473274,0.9844804318488528,0.020581956084530506,22
0.9994736842105263,0.0010526315789473274,0.9844804318488528,0.020581956084530506,23
0.9994736842105263,0.0010526315789473274,0.9844804318488528,0.020581956084530506,24
0.9994736842105263,0.0010526315789473274,0.9844804318488528,0.020581956084530506,25
0.9994736842105263,0.0010526315789473274,0.9844804318488528,0.020581956084530506,26
0.9994736842105263,0.0010526315789473274,0.9844804318488528,0.020581956084530506,27
0.9989473684210527,0.002105263157894699,0.9844804318488528,0.020581956084530506,28
0.9983933518005541,0.002119792406615919,0.9844804318488528,0.020581956084530506,29
0.998421052631579,0.003157894736842071,0.9844804318488528,0.020581956084530506,30
0.998421052631579,0.003157894736842071,0.989608636977058,0.012728557217329656,31
0.9989473684210527,0.002105263157894699,0.989608636977058,0.012728557217329656,32
0.9989473684210527,0.002105263157894699,0.989608636977058,0.012728557217329656,33
0.998421052631579,0.003157894736842071,0.989608636977058,0.012728557217329656,34
0.998421052631579,0.003157894736842071,0.989608636977058,0.012728557217329656,35
0.998421052631579,0.003157894736842071,0.989608636977058,0.012728557217329656,36
0.998421052631579,0.003157894736842071,0.989608636977058,0.012728557217329656,37
0.998421052631579,0.003157894736842071,0.989608636977058,0.012728557217329656,38
0.9989473684210527,0.002105263157894699,0.989608636977058,0.012728557217329656,39
0.9989473684210527,0.002105263157894699,0.989608636977058,0.012728557217329656,40
0.9983933518005541,0.002119792406615919,0.989608636977058,0.012728557217329656,41
