source_id,target_id,source_emotion,target_emotion,original_pred,patched_pred,success,layer,norm_depth,act_type,stimulus_set,condition
A-rage-01,A-grief-08,rage,grief,sadness,sadness,false,5,0.1875,h,seta,within_set
A-rage-01,A-terror-08,rage,terror,fear,fear,false,5,0.1875,h,seta,within_set
A-rage-01,A-ecstasy-08,rage,ecstasy,joy,joy,false,5,0.1875,h,seta,within_set
A-rage-01,A-loathing-08,rage,loathing,disgust,disgust,false,5,0.1875,h,seta,within_set
A-rage-01,A-amazement-08,rage,amazement,joy,joy,false,5,0.1875,h,seta,within_set
A-rage-01,A-admiration-08,rage,admiration,trust,trust,false,5,0.1875,h,seta,within_set
A-rage-01,A-vigilance-08,rage,vigilance,relief,relief,false,5,0.1875,h,seta,within_set
A-grief-01,A-rage-08,grief,rage,anger,anger,false,5,0.1875,h,seta,within_set
A-grief-01,A-terror-08,grief,terror,fear,fear,false,5,0.1875,h,seta,within_set
A-grief-01,A-ecstasy-08,grief,ecstasy,joy,joy,false,5,0.1875,h,seta,within_set
A-grief-01,A-loathing-08,grief,loathing,disgust,disgust,false,5,0.1875,h,seta,within_set
A-grief-01,A-amazement-08,grief,amazement,joy,joy,false,5,0.1875,h,seta,within_set
A-grief-01,A-admiration-08,grief,admiration,trust,trust,false,5,0.1875,h,seta,within_set
A-grief-01,A-vigilance-08,grief,vigilance,relief,relief,false,5,0.1875,h,seta,within_set
A-terror-01,A-rage-08,terror,rage,anger,anger,false,5,0.1875,h,seta,within_set
A-terror-01,A-grief-08,terror,grief,sadness,sadness,false,5,0.1875,h,seta,within_set
A-terror-01,A-ecstasy-08,terror,ecstasy,joy,joy,false,5,0.1875,h,seta,within_set
A-terror-01,A-loathing-08,terror,loathing,disgust,disgust,false,5,0.1875,h,seta,within_set
A-terror-01,A-amazement-08,terror,amazement,joy,joy,false,5,0.1875,h,seta,within_set
A-terror-01,A-admiration-08,terror,admiration,trust,trust,false,5,0.1875,h,seta,within_set
A-terror-01,A-vigilance-08,terror,vigilance,relief,relief,false,5,0.1875,h,seta,within_set
A-ecstasy-01,A-rage-08,ecstasy,rage,anger,anger,false,5,0.1875,h,seta,within_set
A-ecstasy-01,A-grief-08,ecstasy,grief,sadness,sadness,false,5,0.1875,h,seta,within_set
A-ecstasy-01,A-terror-08,ecstasy,terror,fear,fear,false,5,0.1875,h,seta,within_set
A-ecstasy-01,A-loathing-08,ecstasy,loathing,disgust,disgust,false,5,0.1875,h,seta,within_set
A-ecstasy-01,A-amazement-08,ecstasy,amazement,joy,joy,true,5,0.1875,h,seta,within_set
A-ecstasy-01,A-admiration-08,ecstasy,admiration,trust,trust,false,5,0.1875,h,seta,within_set
A-ecstasy-01,A-vigilance-08,ecstasy,vigilance,relief,relief,false,5,0.1875,h,seta,within_set
A-loathing-01,A-rage-08,loathing,rage,anger,anger,false,5,0.1875,h,seta,within_set
A-loathing-01,A-grief-08,loathing,grief,sadness,sadness,false,5,0.1875,h,seta,within_set
A-loathing-01,A-terror-08,loathing,terror,fear,fear,false,5,0.1875,h,seta,within_set
A-loathing-01,A-ecstasy-08,loathing,ecstasy,joy,joy,false,5,0.1875,h,seta,within_set
A-loathing-01,A-amazement-08,loathing,amazement,joy,joy,false,5,0.1875,h,seta,within_set
A-loathing-01,A-admiration-08,loathing,admiration,trust,trust,false,5,0.1875,h,seta,within_set
A-loathing-01,A-vigilance-08,loathing,vigilance,relief,relief,false,5,0.1875,h,seta,within_set
A-amazement-01,A-rage-08,amazement,rage,anger,anger,false,5,0.1875,h,seta,within_set
A-amazement-01,A-grief-08,amazement,grief,sadness,sadness,false,5,0.1875,h,seta,within_set
A-amazement-01,A-terror-08,amazement,terror,fear,fear,false,5,0.1875,h,seta,within_set
A-amazement-01,A-ecstasy-08,amazement,ecstasy,joy,joy,false,5,0.1875,h,seta,within_set
A-amazement-01,A-loathing-08,amazement,loathing,disgust,disgust,false,5,0.1875,h,seta,within_set
A-amazement-01,A-admiration-08,amazement,admiration,trust,trust,false,5,0.1875,h,seta,within_set
A-amazement-01,A-vigilance-08,amazement,vigilance,relief,relief,false,5,0.1875,h,seta,within_set
A-admiration-01,A-rage-08,admiration,rage,anger,anger,false,5,0.1875,h,seta,within_set
A-admiration-01,A-grief-08,admiration,grief,sadness,sadness,false,5,0.1875,h,seta,within_set
A-admiration-01,A-terror-08,admiration,terror,fear,fear,false,5,0.1875,h,seta,within_set
A-admiration-01,A-ecstasy-08,admiration,ecstasy,joy,joy,false,5,0.1875,h,seta,within_set
A-admiration-01,A-loathing-08,admiration,loathing,disgust,disgust,false,5,0.1875,h,seta,within_set
A-admiration-01,A-amazement-08,admiration,amazement,joy,joy,false,5,0.1875,h,seta,within_set
A-admiration-01,A-vigilance-08,admiration,vigilance,relief,relief,false,5,0.1875,h,seta,within_set
A-vigilance-01,A-rage-08,vigilance,rage,anger,anger,false,5,0.1875,h,seta,within_set
A-vigilance-01,A-grief-08,vigilance,grief,sadness,sadness,false,5,0.1875,h,seta,within_set
A-vigilance-01,A-terror-08,vigilance,terror,fear,fear,false,5,0.1875,h,seta,within_set
A-vigilance-01,A-ecstasy-08,vigilance,ecstasy,joy,joy,false,5,0.1875,h,seta,within_set
A-vigilance-01,A-loathing-08,vigilance,loathing,disgust,disgust,false,5,0.1875,h,seta,within_set
A-vigilance-01,A-amazement-08,vigilance,amazement,joy,joy,false,5,0.1875,h,seta,within_set
A-vigilance-01,A-admiration-08,vigilance,admiration,trust,trust,false,5,0.1875,h,seta,within_set
