source_id,target_id,source_emotion,target_emotion,patched_pred,success,layer,norm_depth,act_type,condition
A-rage-05,B-rage-d1-v2,rage,rage,satisfaction,false,3,0.25,h,crossset_same_emotion
A-grief-05,B-grief-d1-v2,grief,grief,indifference,false,3,0.25,h,crossset_same_emotion
A-terror-05,B-terror-d1-v2,terror,terror,confusion,false,3,0.25,h,crossset_same_emotion
A-ecstasy-05,B-ecstasy-d1-v2,ecstasy,ecstasy,sadness,false,3,0.25,h,crossset_same_emotion
A-loathing-05,B-loathing-d1-v2,loathing,loathing,relief,false,3,0.25,h,crossset_same_emotion
A-amazement-05,B-amazement-d1-v2,amazement,amazement,surprise,true,3,0.25,h,crossset_same_emotion
A-admiration-05,B-admiration-d1-v2,admiration,admiration,empathy,false,3,0.25,h,crossset_same_emotion
A-vigilance-05,B-vigilance-d1-v2,vigilance,vigilance,surprise,false,3,0.25,h,crossset_same_emotion
A-rage-02,B-grief-d2-v1,rage,grief,sadness,false,3,0.25,h,crossset_diff_emotion
A-rage-02,B-terror-d2-v1,rage,terror,sadness,false,3,0.25,h,crossset_diff_emotion
A-rage-02,B-ecstasy-d2-v1,rage,ecstasy,nostalgia,false,3,0.25,h,crossset_diff_emotion
A-rage-02,B-loathing-d2-v1,rage,loathing,fear,false,3,0.25,h,crossset_diff_emotion
A-rage-02,B-amazement-d2-v1,rage,amazement,relief,false,3,0.25,h,crossset_diff_emotion
A-rage-02,B-admiration-d2-v1,rage,admiration,guilt,false,3,0.25,h,crossset_diff_emotion
A-rage-02,B-vigilance-d2-v1,rage,vigilance,anxiety,false,3,0.25,h,crossset_diff_emotion
A-grief-02,B-rage-d2-v1,grief,rage,relief,false,3,0.25,h,crossset_diff_emotion
A-grief-02,B-terror-d2-v1,grief,terror,concern,false,3,0.25,h,crossset_diff_emotion
A-grief-02,B-ecstasy-d2-v1,grief,ecstasy,nostalgia,false,3,0.25,h,crossset_diff_emotion
A-grief-02,B-loathing-d2-v1,grief,loathing,fear,false,3,0.25,h,crossset_diff_emotion
A-grief-02,B-amazement-d2-v1,grief,amazement,relief,false,3,0.25,h,crossset_diff_emotion
A-grief-02,B-admiration-d2-v1,grief,admiration,guilt,false,3,0.25,h,crossset_diff_emotion
A-grief-02,B-vigilance-d2-v1,grief,vigilance,anxiety,false,3,0.25,h,crossset_diff_emotion
A-terror-02,B-rage-d2-v1,terror,rage,relief,false,3,0.25,h,crossset_diff_emotion
A-terror-02,B-grief-d2-v1,terror,grief,sadness,false,3,0.25,h,crossset_diff_emotion
A-terror-02,B-ecstasy-d2-v1,terror,ecstasy,nostalgia,false,3,0.25,h,crossset_diff_emotion
A-rage-06,B-rage-d3-v4,rage,rage,anger,true,7,0.5,h,crossset_same_emotion
A-grief-06,B-grief-d3-v4,grief,grief,nostalgia,false,7,0.5,h,crossset_same_emotion
A-terror-06,B-terror-d3-v4,terror,terror,curiosity,false,7,0.5,h,crossset_same_emotion
A-ecstasy-06,B-ecstasy-d3-v4,ecstasy,ecstasy,curiosity,false,7,0.5,h,crossset_same_emotion
A-loathing-06,B-loathing-d3-v4,loathing,loathing,anger,false,7,0.5,h,crossset_same_emotion
A-amazement-06,B-amazement-d3-v4,amazement,amazement,curiosity,false,7,0.5,h,crossset_same_emotion
