layer,norm_depth,stimulus_set,token,count,token_type
8,0.2812,seta,<|begin_of_text|>,1847,punctuation
8,0.2812,seta,"",348,function_word
8,0.2812,seta,emotions,99,context_word
8,0.2812,seta,:,82,function_word
8,0.2812,seta,?,70,function_word
8,0.2812,setb,<|begin_of_text|>,2332,punctuation
8,0.2812,setb,"",393,function_word
8,0.2812,setb,emotions,175,context_word
8,0.2812,setb,:,96,function_word
8,0.2812,setb,?,54,function_word
9,0.3125,seta,<|begin_of_text|>,1871,punctuation
9,0.3125,seta,:,170,function_word
9,0.3125,seta,emotions,141,context_word
9,0.3125,seta,.,117,function_word
9,0.3125,seta,joy,61,emotion_keyword
9,0.3125,setb,<|begin_of_text|>,2278,punctuation
9,0.3125,setb,:,237,function_word
9,0.3125,setb,emotions,216,context_word
9,0.3125,setb,joy,121,emotion_keyword
9,0.3125,setb,.,63,function_word
10,0.3438,seta,<|begin_of_text|>,1724,punctuation
10,0.3438,seta,joy,153,emotion_keyword
10,0.3438,seta,emotions,150,context_word
10,0.3438,seta,:,94,function_word
10,0.3438,seta,sadness,67,emotion_keyword
10,0.3438,setb,<|begin_of_text|>,2196,punctuation
10,0.3438,setb,emotions,322,context_word
10,0.3438,setb,joy,199,emotion_keyword
10,0.3438,setb,:,109,function_word
10,0.3438,setb,.,66,function_word
11,0.375,seta,<|begin_of_text|>,1854,punctuation
11,0.375,seta,.,294,function_word
11,0.375,seta,Answer,76,context_word
11,0.375,seta,sadness,75,emotion_keyword
11,0.375,seta,emotions,57,context_word
11,0.375,setb,<|begin_of_text|>,2255,punctuation
11,0.375,setb,.,253,function_word
11,0.375,setb,emotions,142,context_word
11,0.375,setb,sadness,95,emotion_keyword
11,0.375,setb,?,84,function_word
12,0.4062,seta,<|begin_of_text|>,2242,punctuation
12,0.4062,seta,:,225,function_word
12,0.4062,seta,.,65,function_word
12,0.4062,seta,emotions,4,context_word
12,0.4062,seta,"",4,function_word
12,0.4062,setb,<|begin_of_text|>,2606,punctuation
12,0.4062,setb,:,318,function_word
12,0.4062,setb,.,111,function_word
12,0.4062,setb,emotions,10,context_word
12,0.4062,setb,the,5,function_word
