layer,norm_depth,stimulus_set,token,count,token_type
4,0.3125,seta,<|begin_of_text|>,2030,punctuation
4,0.3125,seta,:,249,function_word
4,0.3125,seta,.,174,function_word
4,0.3125,seta,?,92,function_word
4,0.3125,seta,"",7,function_word
4,0.3125,setb,<|begin_of_text|>,2375,punctuation
4,0.3125,setb,:,319,function_word
4,0.3125,setb,.,194,function_word
4,0.3125,setb,?,110,function_word
4,0.3125,setb,in,52,function_word
5,0.375,seta,<|begin_of_text|>,2214,punctuation
5,0.375,seta,"",183,function_word
5,0.375,seta,.,72,function_word
5,0.375,seta,sadness,58,emotion_keyword
5,0.375,seta,joy,23,emotion_keyword
5,0.375,setb,<|begin_of_text|>,2632,punctuation
5,0.375,setb,"",219,function_word
5,0.375,setb,.,100,function_word
5,0.375,setb,joy,54,emotion_keyword
5,0.375,setb,sadness,42,emotion_keyword
6,0.4375,seta,<|begin_of_text|>,2132,punctuation
6,0.4375,seta,in,127,function_word
6,0.4375,seta,:,116,function_word
6,0.4375,seta,emotions,88,context_word
6,0.4375,seta,.,69,function_word
6,0.4375,setb,<|begin_of_text|>,2625,punctuation
6,0.4375,setb,in,140,function_word
6,0.4375,setb,emotions,113,context_word
6,0.4375,setb,.,105,function_word
6,0.4375,setb,:,81,function_word
7,0.5,seta,<|begin_of_text|>,1623,punctuation
7,0.5,seta,joy,275,emotion_keyword
7,0.5,seta,.,178,function_word
7,0.5,seta,"",157,function_word
7,0.5,seta,:,128,function_word
7,0.5,setb,<|begin_of_text|>,1895,punctuation
7,0.5,setb,joy,414,emotion_keyword
7,0.5,setb,:,233,function_word
7,0.5,setb,"",214,function_word
7,0.5,setb,.,161,function_word
8,0.5625,seta,<|begin_of_text|>,1485,punctuation
8,0.5625,seta,joy,250,emotion_keyword
8,0.5625,seta,:,208,function_word
8,0.5625,seta,.,190,function_word
8,0.5625,seta,emotions,145,context_word
8,0.5625,setb,<|begin_of_text|>,1816,punctuation
8,0.5625,setb,.,361,function_word
8,0.5625,setb,joy,351,emotion_keyword
8,0.5625,setb,:,273,function_word
8,0.5625,setb,emotions,142,context_word
9,0.625,seta,<|begin_of_text|>,1219,punctuation
9,0.625,seta,joy,344,emotion_keyword
9,0.625,seta,sadness,293,emotion_keyword
9,0.625,seta,:,262,function_word
9,0.625,seta,emotions,156,context_word
9,0.625,setb,<|begin_of_text|>,1269,punctuation
9,0.625,setb,joy,563,emotion_keyword
9,0.625,setb,sadness,368,emotion_keyword
9,0.625,setb,:,271,function_word
9,0.625,setb,emotions,247,context_word
10,0.6875,seta,<|begin_of_text|>,2109,punctuation
10,0.6875,seta,sadness,146,emotion_keyword
10,0.6875,seta,:,140,function_word
10,0.6875,seta,joy,59,emotion_keyword
10,0.6875,seta,.,19,function_word
10,0.6875,setb,<|begin_of_text|>,2576,punctuation
10,0.6875,setb,sadness,199,emotion_keyword
10,0.6875,setb,:,158,function_word
10,0.6875,setb,.,86,function_word
10,0.6875,setb,joy,43,emotion_keyword
11,0.75,seta,<|begin_of_text|>,2213,punctuation
11,0.75,seta,:,104,function_word
11,0.75,seta,sadness,94,emotion_keyword
11,0.75,seta,joy,26,emotion_keyword
11,0.75,seta,disgust,11,emotion_keyword
11,0.75,setb,<|begin_of_text|>,2683,punctuation
11,0.75,setb,sadness,167,emotion_keyword
11,0.75,setb,:,160,function_word
11,0.75,setb,.,23,function_word
11,0.75,setb,joy,22,emotion_keyword
12,0.8125,seta,<|begin_of_text|>,2381,punctuation
12,0.8125,seta,:,113,function_word
12,0.8125,seta,joy,53,emotion_keyword
12,0.8125,seta,disgust,5,emotion_keyword
12,0.8125,seta,sad,3,emotion_keyword
12,0.8125,setb,<|begin_of_text|>,2846,punctuation
12,0.8125,setb,:,141,function_word
12,0.8125,setb,joy,85,emotion_keyword
