id,emotion,stimulus_set,domain,n_tokens_prompt,colon_token_idx,model_id,top5_predictions,correct,final_token_str,matched_control_id
B-admiration-d1-v1,admiration,B_clinical,1,209,208,llama1b_base,"['surprise', 'joy', 'confusion', 'sadness', 'anger']",false,:,N-admiration-d1-c1
B-admiration-d1-v2,admiration,B_clinical,1,200,199,llama1b_base,"['joy', 'surprise', 'confusion', 'empathy', 'sadness']",false,:,N-admiration-d1-c2
B-admiration-d1-v3,admiration,B_clinical,1,222,221,llama1b_base,"['joy', 'surprise', 'sadness', 'happiness', 'confusion']",false,:,N-admiration-d1-c3
B-admiration-d1-v4,admiration,B_clinical,1,187,186,llama1b_base,"['joy', 'surprise', 'sadness', 'awe', 'curiosity']",false,:,N-admiration-d1-c4
B-admiration-d2-v1,admiration,B_clinical,2,211,210,llama1b_base,"['sadness', 'anger', 'guilt', 'joy', 'shame']",false,:,N-admiration-d2-c1
B-admiration-d2-v2,admiration,B_clinical,2,203,202,llama1b_base,"['sadness', 'grief', 'sorrow', 'joy', 'guilt']",false,:,N-admiration-d2-c2
B-admiration-d2-v3,admiration,B_clinical,2,222,221,llama1b_base,"['anger', 'surprise', 'confusion', 'sadness', 'guilt']",false,:,N-admiration-d2-c3
B-admiration-d2-v4,admiration,B_clinical,2,212,211,llama1b_base,"['sadness', 'joy', 'anger', 'happiness', 'guilt']",false,:,N-admiration-d2-c4
B-admiration-d3-v1,admiration,B_clinical,3,219,218,llama1b_base,"['joy', 'pride', 'gratitude', 'happiness', 'sadness']",false,:,N-admiration-d3-c1
B-admiration-d3-v2,admiration,B_clinical,3,207,206,llama1b_base,"['joy', 'sadness', 'happiness', 'surprise', 'fear']",false,:,N-admiration-d3-c2
B-admiration-d3-v3,admiration,B_clinical,3,217,216,llama1b_base,"['joy', 'sadness', 'anger', 'surprise', 'happiness']",false,:,N-admiration-d3-c3
B-admiration-d3-v4,admiration,B_clinical,3,234,233,llama1b_base,"['joy', 'sadness', 'happiness', 'surprise', 'confusion']",false,:,N-admiration-d3-c4
B-amazement-d1-v1,amazement,B_clinical,1,181,180,llama1b_base,"['surprise', 'fear', 'confusion', 'awe', 'joy']",true,:,N-amazement-d1-c1
B-amazement-d1-v2,amazement,B_clinical,1,202,201,llama1b_base,"['fear', 'surprise', 'joy', 'sadness', 'terror']",true,:,N-amazement-d1-c2
B-amazement-d1-v3,amazement,B_clinical,1,191,190,llama1b_base,"['joy', 'surprise', 'fear', 'confusion', 'sadness']",true,:,N-amazement-d1-c3
B-amazement-d1-v4,amazement,B_clinical,1,197,196,llama1b_base,"['fear', 'surprise', 'sadness', 'joy', 'confusion']",true,:,N-amazement-d1-c4
B-amazement-d2-v1,amazement,B_clinical,2,202,201,llama1b_base,"['sadness', 'joy', 'surprise', 'confusion', 'relief']",true,:,N-amazement-d2-c1
B-amazement-d2-v2,amazement,B_clinical,2,218,217,llama1b_base,"['joy', 'surprise', 'awe', 'sadness', 'happiness']",true,:,N-amazement-d2-c2
B-amazement-d2-v3,amazement,B_clinical,2,202,201,llama1b_base,"['sadness', 'joy', 'relief', 'fear', 'grief']",false,:,N-amazement-d2-c3
B-amazement-d2-v4,amazement,B_clinical,2,199,198,llama1b_base,"['joy', 'surprise', 'sadness', 'relief', 'gratitude']",true,:,N-amazement-d2-c4
B-amazement-d3-v1,amazement,B_clinical,3,205,204,llama1b_base,"['joy', 'surprise', 'confusion', 'happiness', 'sadness']",true,:,N-amazement-d3-c1
B-amazement-d3-v2,amazement,B_clinical,3,217,216,llama1b_base,"['surprise', 'joy', 'confusion', 'curiosity', 'fear']",true,:,N-amazement-d3-c2
B-amazement-d3-v3,amazement,B_clinical,3,205,204,llama1b_base,"['surprise', 'confusion', 'joy', 'sadness', 'shock']",true,:,N-amazement-d3-c3
B-amazement-d3-v4,amazement,B_clinical,3,195,194,llama1b_base,"['surprise', 'joy', 'curiosity', 'confusion', 'anger']",true,:,N-amazement-d3-c4
B-ecstasy-d1-v1,ecstasy,B_clinical,1,195,194,llama1b_base,"['sadness', 'confusion', 'fear', 'shock', 'anger']",false,:,N-ecstasy-d1-c1
B-ecstasy-d1-v2,ecstasy,B_clinical,1,187,186,llama1b_base,"['joy', 'sadness', 'confusion', 'surprise', 'anger']",true,:,N-ecstasy-d1-c2
B-ecstasy-d1-v3,ecstasy,B_clinical,1,200,199,llama1b_base,"['joy', 'surprise', 'confusion', 'fear', 'sadness']",true,:,N-ecstasy-d1-c3
B-ecstasy-d1-v4,ecstasy,B_clinical,1,177,176,llama1b_base,"['joy', 'sadness', 'surprise', 'pride', 'happiness']",true,:,N-ecstasy-d1-c4
B-ecstasy-d2-v1,ecstasy,B_clinical,2,187,186,llama1b_base,"['joy', 'surprise', 'sadness', 'fear', 'happiness']",true,:,N-ecstasy-d2-c1
B-ecstasy-d2-v2,ecstasy,B_clinical,2,175,174,llama1b_base,"['joy', 'sadness', 'happiness', 'surprise', 'relief']",true,:,N-ecstasy-d2-c2
B-ecstasy-d2-v3,ecstasy,B_clinical,2,186,185,llama1b_base,"['sadness', 'surprise', 'confusion', 'sorrow', 'joy']",true,:,N-ecstasy-d2-c3
B-ecstasy-d2-v4,ecstasy,B_clinical,2,173,172,llama1b_base,"['surprise', 'joy', 'sadness', 'happiness', 'curiosity']",true,:,N-ecstasy-d2-c4
B-ecstasy-d3-v1,ecstasy,B_clinical,3,181,180,llama1b_base,"['joy', 'surprise', 'happiness', 'amusement', 'confusion']",true,:,N-ecstasy-d3-c1
B-ecstasy-d3-v2,ecstasy,B_clinical,3,177,176,llama1b_base,"['joy', 'surprise', 'awe', 'curiosity', 'fear']",true,:,N-ecstasy-d3-c2
B-ecstasy-d3-v3,ecstasy,B_clinical,3,190,189,llama1b_base,"['confusion', 'surprise', 'joy', 'sadness', 'anger']",true,:,N-ecstasy-d3-c3
B-ecstasy-d3-v4,ecstasy,B_clinical,3,201,200,llama1b_base,"['curiosity', 'surprise', 'fear', 'confusion', 'joy']",true,:,N-ecstasy-d3-c4
B-grief-d1-v1,grief,B_clinical,1,155,154,llama1b_base,"['sadness', 'grief', 'sorrow', 'anger', 'guilt']",true,:,N-grief-d1-c1
B-grief-d1-v2,grief,B_clinical,1,142,141,llama1b_base,"['sadness', 'confusion', 'surprise', 'fear', 'anger']",true,:,N-grief-d1-c2
B-grief-d1-v3,grief,B_clinical,1,159,158,llama1b_base,"['sadness', 'fear', 'confusion', 'surprise', 'joy']",true,:,N-grief-d1-c3
B-grief-d1-v4,grief,B_clinical,1,162,161,llama1b_base,"['sadness', 'fear', 'sorrow', 'anger', 'regret']",true,:,N-grief-d1-c4
B-grief-d2-v1,grief,B_clinical,2,166,165,llama1b_base,"['joy', 'sadness', 'surprise', 'confusion', 'fear']",true,:,N-grief-d2-c1
B-grief-d2-v2,grief,B_clinical,2,170,169,llama1b_base,"['sadness', 'fear', 'surprise', 'joy', 'anger']",true,:,N-grief-d2-c2
B-grief-d2-v3,grief,B_clinical,2,159,158,llama1b_base,"['sadness', 'joy', 'sorrow', 'surprise', 'happiness']",true,:,N-grief-d2-c3
B-grief-d2-v4,grief,B_clinical,2,170,169,llama1b_base,"['sadness', 'joy', 'fear', 'anger', 'curiosity']",true,:,N-grief-d2-c4
B-grief-d3-v1,grief,B_clinical,3,165,164,llama1b_base,"['surprise', 'sadness', 'joy', 'confusion', 'curiosity']",true,:,N-grief-d3-c1
B-grief-d3-v2,grief,B_clinical,3,159,158,llama1b_base,"['sadness', 'guilt', 'anger', 'fear', 'sorrow']",true,:,N-grief-d3-c2
B-grief-d3-v3,grief,B_clinical,3,161,160,llama1b_base,"['sadness', 'joy', 'confusion', 'surprise', 'happiness']",true,:,N-grief-d3-c3
B-grief-d3-v4,grief,B_clinical,3,161,160,llama1b_base,"['sadness', 'confusion', 'surprise', 'fear', 'joy']",true,:,N-grief-d3-c4
B-loathing-d1-v1,loathing,B_clinical,1,167,166,llama1b_base,"['anger', 'guilt', 'surprise', 'confusion', 'joy']",false,:,N-loathing-d1-c1
B-loathing-d1-v2,loathing,B_clinical,1,179,178,llama1b_base,"['surprise', 'anger', 'confusion', 'fear', 'sadness']",false,:,N-loathing-d1-c2
B-loathing-d1-v3,loathing,B_clinical,1,183,182,llama1b_base,"['anger', 'confusion', 'surprise', 'sadness', 'disgust']",true,:,N-loathing-d1-c3
B-loathing-d1-v4,loathing,B_clinical,1,181,180,llama1b_base,"['sadness', 'joy', 'anger', 'surprise', 'pride']",false,:,N-loathing-d1-c4
B-loathing-d2-v1,loathing,B_clinical,2,172,171,llama1b_base,"['fear', 'surprise', 'disgust', 'confusion', 'sadness']",true,:,N-loathing-d2-c1
B-loathing-d2-v2,loathing,B_clinical,2,197,196,llama1b_base,"['confusion', 'surprise', 'disgust', 'sadness', 'anger']",true,:,N-loathing-d2-c2
B-loathing-d2-v3,loathing,B_clinical,2,215,214,llama1b_base,"['fear', 'sadness', 'confusion', 'anger', 'surprise']",false,:,N-loathing-d2-c3
B-loathing-d2-v4,loathing,B_clinical,2,194,193,llama1b_base,"['fear', 'sadness', 'anger', 'guilt', 'disgust']",true,:,N-loathing-d2-c4
B-loathing-d3-v1,loathing,B_clinical,3,173,172,llama1b_base,"['joy', 'surprise', 'sadness', 'confusion', 'anger']",false,:,N-loathing-d3-c1
B-loathing-d3-v2,loathing,B_clinical,3,167,166,llama1b_base,"['anger', 'guilt', 'sadness', 'surprise', 'disgust']",true,:,N-loathing-d3-c2
B-loathing-d3-v3,loathing,B_clinical,3,181,180,llama1b_base,"['anger', 'disgust', 'sadness', 'confusion', 'joy']",true,:,N-loathing-d3-c3
B-loathing-d3-v4,loathing,B_clinical,3,188,187,llama1b_base,"['sadness', 'anger', 'joy', 'confusion', 'guilt']",false,:,N-loathing-d3-c4
B-rage-d1-v1,rage,B_clinical,1,148,147,llama1b_base,"['sadness', 'anger', 'guilt', 'confusion', 'regret']",true,:,N-rage-d1-c1
