layer,norm_depth,model_key,act_type,condition,auroc_mean,acc_mean,auroc_std
0,0.0312,llama8b_base,a,A_to_B,0.5844494047619048,0.15625,NaN
0,0.0312,llama8b_base,a,B_to_A,0.5539285714285714,0.125,NaN
1,0.0625,llama8b_base,a,A_to_B,0.5853174603174603,0.125,NaN
1,0.0625,llama8b_base,a,B_to_A,0.5507142857142857,0.1125,NaN
2,0.0938,llama8b_base,a,A_to_B,0.5581597222222222,0.15625,NaN
2,0.0938,llama8b_base,a,B_to_A,0.51125,0.1125,NaN
3,0.125,llama8b_base,a,A_to_B,0.5762648809523809,0.13541666666666666,NaN
3,0.125,llama8b_base,a,B_to_A,0.5544642857142857,0.1,NaN
4,0.1562,llama8b_base,a,A_to_B,0.5961061507936508,0.08333333333333333,NaN
4,0.1562,llama8b_base,a,B_to_A,0.5130357142857143,0.1125,NaN
5,0.1875,llama8b_base,a,A_to_B,0.5988343253968254,0.14583333333333334,NaN
5,0.1875,llama8b_base,a,B_to_A,0.5183928571428571,0.15,NaN
6,0.2188,llama8b_base,a,A_to_B,0.6042906746031745,0.13541666666666666,NaN
6,0.2188,llama8b_base,a,B_to_A,0.44625000000000004,0.1,NaN
7,0.25,llama8b_base,a,A_to_B,0.6028025793650793,0.17708333333333334,NaN
7,0.25,llama8b_base,a,B_to_A,0.5449999999999999,0.15,NaN
8,0.2812,llama8b_base,a,A_to_B,0.6253720238095237,0.125,NaN
8,0.2812,llama8b_base,a,B_to_A,0.5587500000000001,0.15,NaN
9,0.3125,llama8b_base,a,A_to_B,0.6625744047619049,0.11458333333333333,NaN
9,0.3125,llama8b_base,a,B_to_A,0.6660714285714286,0.225,NaN
10,0.3438,llama8b_base,a,A_to_B,0.6796875,0.08333333333333333,NaN
10,0.3438,llama8b_base,a,B_to_A,0.7057142857142857,0.2,NaN
11,0.375,llama8b_base,a,A_to_B,0.6479414682539683,0.13541666666666666,NaN
11,0.375,llama8b_base,a,B_to_A,0.63,0.1625,NaN
12,0.4062,llama8b_base,a,A_to_B,0.7508680555555556,0.16666666666666666,NaN
12,0.4062,llama8b_base,a,B_to_A,0.7991071428571428,0.3125,NaN
13,0.4375,llama8b_base,a,A_to_B,0.9285714285714285,0.4791666666666667,NaN
13,0.4375,llama8b_base,a,B_to_A,0.9125,0.4875,NaN
14,0.4688,llama8b_base,a,A_to_B,0.8849206349206349,0.4166666666666667,NaN
14,0.4688,llama8b_base,a,B_to_A,0.895,0.4625,NaN
15,0.5,llama8b_base,a,A_to_B,0.8658234126984127,0.46875,NaN
15,0.5,llama8b_base,a,B_to_A,0.8521428571428571,0.375,NaN
16,0.5312,llama8b_base,a,A_to_B,0.9117063492063491,0.5104166666666666,NaN
16,0.5312,llama8b_base,a,B_to_A,0.9192857142857143,0.4625,NaN
17,0.5625,llama8b_base,a,A_to_B,0.8385416666666666,0.4375,NaN
17,0.5625,llama8b_base,a,B_to_A,0.8742857142857143,0.5125,NaN
18,0.5938,llama8b_base,a,A_to_B,0.8282490079365079,0.4375,NaN
18,0.5938,llama8b_base,a,B_to_A,0.8917857142857143,0.5,NaN
19,0.625,llama8b_base,a,A_to_B,0.793030753968254,0.2708333333333333,NaN
19,0.625,llama8b_base,a,B_to_A,0.8282142857142858,0.3875,NaN
20,0.6562,llama8b_base,a,A_to_B,0.8309771825396826,0.4479166666666667,NaN
20,0.6562,llama8b_base,a,B_to_A,0.9378571428571428,0.7,NaN
21,0.6875,llama8b_base,a,A_to_B,0.916046626984127,0.5729166666666666,NaN
21,0.6875,llama8b_base,a,B_to_A,0.9432142857142857,0.65,NaN
22,0.7188,llama8b_base,a,A_to_B,0.828125,0.21875,NaN
22,0.7188,llama8b_base,a,B_to_A,0.843392857142857,0.425,NaN
23,0.75,llama8b_base,a,A_to_B,0.8365575396825398,0.4479166666666667,NaN
23,0.75,llama8b_base,a,B_to_A,0.8935714285714285,0.5375,NaN
24,0.7812,llama8b_base,a,A_to_B,0.7640128968253967,0.3645833333333333,NaN
24,0.7812,llama8b_base,a,B_to_A,0.6058928571428571,0.3,NaN
25,0.8125,llama8b_base,a,A_to_B,0.8722718253968254,0.46875,NaN
25,0.8125,llama8b_base,a,B_to_A,0.9648214285714286,0.7125,NaN
26,0.8438,llama8b_base,a,A_to_B,0.9066220238095238,0.4895833333333333,NaN
26,0.8438,llama8b_base,a,B_to_A,0.9375,0.65,NaN
27,0.875,llama8b_base,a,A_to_B,0.8772321428571428,0.4375,NaN
27,0.875,llama8b_base,a,B_to_A,0.8910714285714285,0.55,NaN
28,0.9062,llama8b_base,a,A_to_B,0.8921130952380953,0.5208333333333334,NaN
28,0.9062,llama8b_base,a,B_to_A,0.9314285714285715,0.6125,NaN
29,0.9375,llama8b_base,a,A_to_B,0.9020337301587302,0.6145833333333334,NaN
29,0.9375,llama8b_base,a,B_to_A,0.9146428571428571,0.5875,NaN
30,0.9688,llama8b_base,a,A_to_B,0.9035218253968254,0.5416666666666666,NaN
30,0.9688,llama8b_base,a,B_to_A,0.8630357142857142,0.3625,NaN
31,1.0,llama8b_base,a,A_to_B,0.9150545634920635,0.5833333333333334,NaN
31,1.0,llama8b_base,a,B_to_A,0.9271428571428572,0.6375,NaN
