layer,norm_depth,model_key,act_type,condition,auroc_mean,acc_mean,auroc_std
0,0.0625,llama1b_base,h,A_to_B,0.5701884920634921,0.10416666666666667,NaN
0,0.0625,llama1b_base,h,B_to_A,0.5676785714285715,0.1375,NaN
1,0.125,llama1b_base,h,A_to_B,0.5680803571428571,0.15625,NaN
1,0.125,llama1b_base,h,B_to_A,0.5460714285714285,0.1125,NaN
2,0.1875,llama1b_base,h,A_to_B,0.5673363095238095,0.13541666666666666,NaN
2,0.1875,llama1b_base,h,B_to_A,0.5582142857142858,0.1625,NaN
3,0.25,llama1b_base,h,A_to_B,0.6252480158730159,0.13541666666666666,NaN
3,0.25,llama1b_base,h,B_to_A,0.5714285714285714,0.1625,NaN
4,0.3125,llama1b_base,h,A_to_B,0.6376488095238095,0.14583333333333334,NaN
4,0.3125,llama1b_base,h,B_to_A,0.5394642857142857,0.1625,NaN
5,0.375,llama1b_base,h,A_to_B,0.6297123015873016,0.20833333333333334,NaN
5,0.375,llama1b_base,h,B_to_A,0.5539285714285714,0.1625,NaN
6,0.4375,llama1b_base,h,A_to_B,0.6331845238095238,0.15625,NaN
6,0.4375,llama1b_base,h,B_to_A,0.5742857142857143,0.175,NaN
7,0.5,llama1b_base,h,A_to_B,0.6380208333333333,0.16666666666666666,NaN
7,0.5,llama1b_base,h,B_to_A,0.5685714285714286,0.1375,NaN
8,0.5625,llama1b_base,h,A_to_B,0.6799355158730158,0.1875,NaN
8,0.5625,llama1b_base,h,B_to_A,0.6233928571428572,0.1875,NaN
9,0.625,llama1b_base,h,A_to_B,0.7705853174603174,0.3020833333333333,NaN
9,0.625,llama1b_base,h,B_to_A,0.7632142857142856,0.25,NaN
10,0.6875,llama1b_base,h,A_to_B,0.7847222222222222,0.4479166666666667,NaN
10,0.6875,llama1b_base,h,B_to_A,0.8382142857142856,0.3875,NaN
11,0.75,llama1b_base,h,A_to_B,0.7919146825396826,0.4479166666666667,NaN
11,0.75,llama1b_base,h,B_to_A,0.8978571428571429,0.4625,NaN
12,0.8125,llama1b_base,h,A_to_B,0.8118799603174602,0.4583333333333333,NaN
12,0.8125,llama1b_base,h,B_to_A,0.9353571428571429,0.5375,NaN
13,0.875,llama1b_base,h,A_to_B,0.8275049603174603,0.46875,NaN
13,0.875,llama1b_base,h,B_to_A,0.9535714285714285,0.5375,NaN
14,0.9375,llama1b_base,h,A_to_B,0.8373015873015873,0.4791666666666667,NaN
14,0.9375,llama1b_base,h,B_to_A,0.9526785714285714,0.5375,NaN
15,1.0,llama1b_base,h,A_to_B,0.8518105158730158,0.5416666666666666,NaN
15,1.0,llama1b_base,h,B_to_A,0.9607142857142856,0.6125,NaN
